id,time
0,0.699674916
1,4.114773226
2,3.426457977
3,2.371051073
4,1.130569383
5,1.45049386
6,2.384291124
7,0.172591192
8,0.137646101
9,1.820281959
10,10.14689267
11,0.234315157
12,2.531757164
13,1.129017293
14,7.502942586
15,8.36904788
16,0.707778215
17,6.976898313
18,0.834301519
19,2.415314698
20,1.774436259
21,1.565426898
22,3.359211302
23,3.475084043
24,0.839653039
25,1.002905107
26,11.66254251
27,5.601376653
28,2.624206686
29,0.774552491
30,11.88173795
31,1.585770483
32,2.891414189
33,16.15819414
34,16.93871894
35,3.482142973
36,9.418705797
37,1.106472826
38,1.088624167
39,9.027586818
40,5.617564964
41,1.137264848
42,3.664495659
43,1.101215458
44,2.523864622
45,4.495001101
46,4.30341363
47,1.303802141
48,5.217444301
49,1.242553563
50,2.481449687
51,3.580709028
52,3.160387206
53,3.062016249
54,4.781213903
55,4.764572048
56,2.524683571
57,14.12361507
58,1.82387836
59,0.489208341
60,2.874741765
61,1.269807884
62,2.633934116
63,0.966570926
64,0.611379266
65,6.220611429
66,2.019483376
67,11.84083948
68,0.414110126
69,0.951148084
70,19.75699029
71,0.770572698
72,4.119655347
73,0.550481772
74,2.529507589
75,1.387929082
76,1.365571642
77,0.48740766
78,0.83685056
79,0.771634253
80,0.431976032
81,5.897067666
82,2.450173068
83,1.936641264
84,0.531799595
85,8.418690634
86,1.286557531
87,2.63445363
88,1.454601526
89,0.482530431
90,0.820173889
91,2.171256649
92,4.052779722
93,2.021410894
94,0.564251757
95,0.462577689
96,10.32618868
97,1.514019227
98,1.004401898
99,2.059631133
