,time
0,-0.6115083119611057
1,3.054375347118077
2,5.097587645352038
3,2.445932893968211
4,0.42991288996157717
5,2.375096415404333
6,3.7434174898845787
7,-0.3846036645215763
8,-0.06207849193634817
9,2.047176496039537
10,5.481835301404026
11,0.6939331312458272
12,0.7269599262973423
13,-0.08132963917013152
14,6.142209486648488
15,4.200110623777936
16,0.02967740286265711
17,2.4312728414586795
18,3.292629949642597
19,1.8728340262628873
20,4.646919538203416
21,0.2653788414939209
22,5.218964325471218
23,0.5623994629368045
24,0.7448684750050862
25,0.17807435305383273
26,9.671387793619097
27,3.9239881822250515
28,1.433827557232138
29,1.446899933944194
30,7.050549156857919
31,1.6820714469780174
32,4.12836378589668
33,13.233064216988417
34,18.246501773709948
35,1.2036308283814614
36,4.198200415521524
37,0.981466905793318
38,0.1085184215803447
39,4.500279635281118
40,4.594304369723758
41,0.19434167177308725
42,2.366488276060848
43,-0.6672485481957096
44,2.0601953285603494
45,7.741995361838325
46,5.286328161775155
47,1.888452928876487
48,6.381807709611834
49,4.058735573991284
50,2.057993829678505
51,6.321375856819754
52,2.0065893729506854
53,2.2122630889505546
54,5.583747513907694
55,6.368367163044427
56,2.6849263189468404
57,13.180729231298598
58,0.8326426057254741
59,1.5831673951671956
60,0.7151643352840675
61,0.5468040832616629
62,3.7696839318077187
63,0.47333168008029874
64,0.7854136776677672
65,10.344449032416184
66,2.715434627988477
67,1.6297083299743818
68,0.8539836677621376
69,0.6452544640766205
70,13.109935167206853
71,0.5926499579958805
72,4.437262466099793
73,-0.6400472389929334
74,7.402372855627206
75,1.2972322741157203
76,1.0923358787119468
77,-0.21426657264439677
78,1.8760947960043675
79,1.7426161105719578
80,-1.222297632769312
81,4.428236824912996
82,3.2305767120162265
83,3.4442890128206765
84,1.4646698629105455
85,10.718677317451938
86,3.5134569554470594
87,1.8847412307126037
88,1.0978356943421597
89,1.4685004523397998
90,0.8089012491759667
91,1.190468864973045
92,5.088480839869964
93,0.9082375696747952
94,1.6582009410749974
95,1.4541235997184077
96,13.001771325381391
97,2.852065290937569
98,-0.44379023052429606
99,0.6708599555408781
